티커,이름,거래일,거래유형,구분,거래수량,평균단가,금액
AAPL,애플,2025-07-08,매수,지수구성,49,213.59,10465.91
AAPL,애플,2025-07-11,매수,개별종목,20,209.88,4197.6
AAPL,애플,2025-08-18,매도,개별종목,20,232.5,4650.0
AMZN,아마존 닷컴,2025-07-08,매수,지수구성,37,222.8,8243.6
AVGO,브로드컴,2025-07-08,매수,지수구성,16,274.2,4387.2
AVGO,브로드컴,2025-09-11,매도,지수구성,16,363.88,5822.08
CF,CF 인더스트리스 홀딩스,2025-07-08,매수,개별종목,234,94.45,22101.08
CNC,센틴,2025-08-18,매수,개별종목,336,29.78,10006.08
GEV,GE 베르노바 Inc,2025-08-20,매수,개별종목,18,604.67,10884.0
GEV,GE 베르노바 Inc,2025-09-03,매수,개별종목,4,577.43,2309.72
GEV,GE 베르노바 Inc,2025-09-12,매수,개별종목,10,628.23,6282.3
GOOG,알파벳,2025-07-08,매수,지수구성,42,179.35,7532.7
GOOG,알파벳,2025-09-04,매도,지수구성,42,229.53,9640.26
JPM,제이피모간체이스,2025-07-08,매수,지수구성,9,294.24,2648.16
KKR,KKR,2025-07-08,매수,개별종목,106,138.83,14715.98
KKR,KKR,2025-08-19,매도,개별종목,10,140.88,1408.8
KKR,KKR,2025-08-19,매도,개별종목,96,140.87,13523.52
META,메타 플랫폼스,2025-07-08,매수,지수구성,9,717.46,6457.18
MSFT,마이크로소프트,2025-07-08,매수,지수구성,26,498.06,12949.56
NVDA,엔비디아,2025-07-08,매수,지수구성,86,159.65,13729.9
NVDA,엔비디아,2025-07-29,매수,개별종목,24,178.2,4276.8
NVDA,엔비디아,2025-08-22,매도,지수구성,31,172.27,5340.37
NVDA,엔비디아,2025-08-22,매도,개별종목,24,172.27,4134.48
NVDA,엔비디아,2025-09-02,매수,지수구성,31,169.87,5265.97
NVDA,엔비디아,2025-09-04,매수,개별종목,42,170.55,7163.1
NVDA,엔비디아,2025-09-16,매수,개별종목,25,175.02,4375.5
ORCL,오라클,2025-07-24,매수,개별종목,60,242.65,14559.0
ORCL,오라클,2025-09-12,매도,개별종목,60,316.16,18969.6
PLTR,팔란티어 테크놀로지스,2025-09-12,매수,개별종목,50,165.9,8295.0
PLTR,팔란티어 테크놀로지스,2025-09-18,매도,개별종목,50,167.5,8375.0
TSLA,테슬라,2025-07-08,매수,지수구성,11,315.67,3472.37
TSLA,테슬라,2025-07-25,매수,개별종목,23,303.08,6970.84
TSLA,테슬라,2025-08-18,매도,지수구성,9,332.5,2992.5
TSLA,테슬라,2025-08-18,매도,개별종목,23,332.5,7647.5
TSLA,테슬라,2025-09-02,매수,지수구성,9,326.94,2942.46
TSLA,테슬라,2025-09-04,매수,개별종목,21,336.93,7075.53
TSLA,테슬라,2025-09-15,매도,지수구성,11,423.0,4653.0
TSLA,테슬라,2025-09-15,매도,개별종목,21,423.0,8883.0
UNH,유나이티드헬스 그룹,2025-09-12,매수,개별종목,15,358.37,5375.55
UNH,유나이티드헬스 그룹,2025-09-17,매수,개별종목,5,342.21,1711.05
UNP,유니온 퍼시픽,2025-07-08,매수,개별종목,62,237.39,14718.18
UNP,유니온 퍼시픽,2025-07-24,매도,개별종목,31,229.0,7099.0
UNP,유니온 퍼시픽,2025-08-18,매도,개별종목,31,219.98,6819.38
WMT,월마트,2025-07-08,매수,지수구성,28,97.62,2733.5
