티커,이름
LYB UN Equity,라이온델바젤 인더스트리스
AXP UN Equity,아메리칸 엑스프레스
VZ UN Equity,버라이즌 커뮤니케이션스
TPL UN Equity,Texas Pacific Land Corp
AVGO UW Equity,브로드컴
BA UN Equity,보잉
SOLV UN Equity,솔벤텀
CAT UN Equity,캐터필러
JPM UN Equity,제이피모간체이스
CVX UN Equity,쉐브론
KO UN Equity,코카콜라
ABBV UN Equity,애브비
DIS UN Equity,월트디즈니
CPAY UN Equity,코페이
EXR UN Equity,엑스트라 스페이스 스토리지
XOM UN Equity,엑손 모빌
PSX UN Equity,필립스 66
GE UN Equity,제너럴 일렉트릭
HPQ UN Equity,HP
HD UN Equity,홈디포
MPWR UW Equity,모놀리식 파워 시스템스
IBM UN Equity,인터내셔널 비즈니스 머신스
JNJ UN Equity,존슨앤드존슨
LULU UW Equity,룰루레몬 애슬레티카
MCD UN Equity,맥도날드
MRK UN Equity,머크
MMM UN Equity,쓰리엠
AWK UN Equity,아메리칸 워터 웍스
BAC UN Equity,뱅크오브아메리카
PFE UN Equity,화이자
PG UN Equity,프록터 앤 갬블
T UN Equity,AT&T
TRV UN Equity,트래블러스 컴퍼니스
RTX UN Equity,RTX
ADI UW Equity,애널로그 디바이시스
WMT UN Equity,월마트
CSCO UW Equity,Cisco Systems Inc
INTC UW Equity,인텔
GM UN Equity,제너럴 모터스
MSFT UW Equity,마이크로소프트
DG UN Equity,달러 제너럴
CI UN Equity,시그나
KMI UN Equity,킨더 모건
C UN Equity,씨티그룹
AIG UN Equity,아메리칸 인터내셔널 그룹
MO UN Equity,알트리아그룹
HCA UN Equity,HCA 홀딩스
IP UN Equity,인터내셔널 페이퍼
HPE UN Equity,휴렛패커드 엔터프라이즈
ABT UN Equity,애보트 래버러토리
AFL UN Equity,애플랙
APD UN Equity,에어 프로덕츠 앤드 케미컬스
SMCI UW Equity,슈퍼 마이크로 컴퓨터
RCL UN Equity,로얄 캐리비안 크루지스
HES UN Equity,헤스
LII UN Equity,레녹스 인터내셔널
ADM UN Equity,아처-대니얼스-미들랜드
ADP UW Equity,오토매틱 데이터 프로세싱
VRSK UW Equity,베리스크 애널리틱스
AZO UN Equity,오토존
LIN UW Equity,린데
AVY UN Equity,에이버리 데니슨
ENPH UQ Equity,인페이즈 에너지
MSCI UN Equity,MSCI
BALL UN Equity,볼
AXON UW Equity,액손 엔터프라이즈
DAY UN Equity,데이포스
CARR UN Equity,Carrier Global Corp
BK UN Equity,뉴욕 멜론 은행
OTIS UN Equity,Otis Worldwide Corp
BAX UN Equity,박스터 인터내셔널
BDX UN Equity,벡톤 디킨슨
BRK/B UN Equity,버크셔 해서웨이
BBY UN Equity,베스트 바이
BSX UN Equity,보스턴 사이언티픽
BMY UN Equity,브리스톨 마이어스 스퀴브
BF/B UN Equity,브라운-포맨
CTRA UN Equity,코테라 에너지
HLT UN Equity,힐튼 월드와이드 홀딩스
CCL UN Equity,카니발
BLDR UN Equity,빌더스 퍼스트소스
UDR UN Equity,UDR
CLX UN Equity,크로락스
PAYC UN Equity,페이콤 소프트웨어
CMS UN Equity,CMS 에너지
CL UN Equity,콜게이트-팜올리브
EPAM UN Equity,EPAM 시스템스
CAG UN Equity,콘아그라 브랜즈
ABNB UW Equity,에어비앤비
ED UN Equity,콘솔리데이티드 에디슨
GLW UN Equity,코닝
GDDY UN Equity,고대디
CMI UN Equity,커민스
CZR UW Equity,시저스 엔터테인먼트
DHR UN Equity,다나허
TGT UN Equity,타겟
WSM UN Equity,윌리엄스 소노마
DE UN Equity,디어
D UN Equity,도미니언 에너지
DOV UN Equity,도버
LNT UW Equity,얼라이언트 에너지
STLD UW Equity,스틸 다이내믹스
DUK UN Equity,듀크 에너지
REG UW Equity,리젠시 센터스
ETN UN Equity,이튼
ECL UN Equity,에코랩
RVTY UN Equity,레비티
DELL UN Equity,델 테크놀로지스
EMR UN Equity,에머슨 일렉트릭
EOG UN Equity,EOG 리소시스
AON UN Equity,에이온
ETR UN Equity,엔터지
EFX UN Equity,에퀴팩스
EQT UN Equity,EQT
IQV UN Equity,아이큐비아 홀딩스
IT UN Equity,가트너
FDX UN Equity,페덱스
BRO UN Equity,브라운 & 브라운
F UN Equity,포드 모터 컴퍼니
NEE UN Equity,넥스트에라 에너지
BEN UN Equity,프랭클린 리소시스
GRMN UN Equity,가민
FCX UN Equity,프리포트 맥모란
EXE UW Equity,익스팬드 에너지
DXCM UW Equity,덱스컴
GD UN Equity,제너럴 다이내믹스
GIS UN Equity,제너럴 밀즈
GPC UN Equity,제뉴인 파츠
ATO UN Equity,애트모스 에너지
GWW UN Equity,WW 그레인저
HAL UN Equity,할리버튼
LHX UN Equity,L3해리스 테크놀로지스
DOC UN Equity,헬스피크 프로퍼티스
PODD UW Equity,인슐렛
FTV UN Equity,포티브
HSY UN Equity,허쉬
SYF UN Equity,싱크로니 파이낸셜
HRL UN Equity,호멜 푸즈
AJG UN Equity,아서 J 갤러거
MDLZ UW Equity,몬덜리즈 인터내셔널
CNP UN Equity,센터포인트 에너지
HUM UN Equity,휴매나
WTW UW Equity,윌리스 타워스 왓슨
ITW UN Equity,일리노이 툴 웍스
CDW UW Equity,CDW
TT UN Equity,트레인 테크놀로지스
IPG UN Equity,인터퍼블릭 그룹 오브 컴퍼니스
IFF UN Equity,인터내셔널 플레이버스 & 프레그런시스
GNRC UN Equity,제네락 홀딩스
NXPI UW Equity,NXP 세미콘덕터
K UN Equity,켈라노바
BR UN Equity,브로드리지 파이낸셜 솔루션스
KMB UN Equity,킴벌리클라크
KIM UN Equity,킴코 리얼티
ORCL UN Equity,오라클
KR UN Equity,크로거
LEN UN Equity,레나
LLY UN Equity,일라이 릴리
CHTR UW Equity,차터 커뮤니케이션스
L UN Equity,로우스
LOW UN Equity,로우스 컴퍼니스
HUBB UN Equity,허벨
IEX UN Equity,아이덱스
MMC UN Equity,마시 앤 맥레넌 컴퍼니
MAS UN Equity,매스코
SPGI UN Equity,S&P 글로벌
MDT UN Equity,메드트로닉
