티커,ETF명,AUM(억원),기초지수,구분1,구분2
A411060,ACE KRX금현물,12063.79905967,KRX 금현물지수,위험,FX 및 원자재
A132030,KODEX 골드선물(H),2585.76934131,S&P GSCI Gold Index(TR),위험,FX 및 원자재
A144600,KODEX 은선물(H),1000.68433315,S&P GSCI Silver Index(TR),위험,FX 및 원자재
A292560,TIGER 일본엔선물,820.19271348,엔선물지수,위험,FX 및 원자재
A261240,KODEX 미국달러선물,604.65213085,미국달러 선물지수,위험,FX 및 원자재
A261220,KODEX WTI원유선물(H),484.36744929,S&P GSCI Crude Oil Index ER,위험,FX 및 원자재
A271060,KODEX 3대농산물선물(H),250.91502787,S&P GSCI Grains Select Index Excess Return,위험,FX 및 원자재
A360750,TIGER 미국S&P500,70782.33992155,S&P 500,위험,해외주식_지수
A133690,TIGER 미국나스닥100,41375.59331762,NASDAQ 100,위험,해외주식_지수
A379800,KODEX 미국S&P500,36615.815096,S&P 500,위험,해외주식_지수
A379810,KODEX 미국나스닥100,19926.44155176,NASDAQ 100,위험,해외주식_지수
A381180,TIGER 미국필라델피아반도체나스닥,18433.28556134,PHLX Semiconductor Sector Index,위험,해외주식_지수
A360200,ACE 미국S&P500,17650.56324275,S&P 500,위험,해외주식_지수
A367380,ACE 미국나스닥100,12526.97582305,NASDAQ 100,위험,해외주식_지수
A371160,TIGER 차이나항셍테크,10344.61549209,Hang Seng TECH Index,위험,해외주식_지수
A379780,RISE 미국S&P500,8204.38848833,S&P 500,위험,해외주식_지수
A453870,TIGER 인도니프티50,5703.28491849,Nifty 50 Index,위험,해외주식_지수
A449180,KODEX 미국S&P500(H),4826.29130495,S&P 500,위험,해외주식_지수
A453810,KODEX 인도Nifty50,4384.99581805,Nifty 50 Index,위험,해외주식_지수
A251350,KODEX 선진국MSCI World,3285.27788797,MSCI World,위험,해외주식_지수
A448290,TIGER 미국S&P500TR(H),3122.93333139,S&P 500 Total Return Index,위험,해외주식_지수
A245710,ACE 베트남VN30(합성),2241.790039,VN30 Index(PR),위험,해외주식_지수
A241180,TIGER 일본니케이225,2236.44630463,Nikkei 225,위험,해외주식_지수
A200250,KIWOOM 인도Nifty50(합성),2219.01934984,Nifty 50 Index,위험,해외주식_지수
A448300,TIGER 미국나스닥100TR(H),2102.33278267,NASDAQ-100 Total Return Index,위험,해외주식_지수
